image_id,c,s
img_000255,0.292511,0.010544
img_000256,0.241043,0.055893
img_000257,0.356705,0.0
img_000258,0.449371,0.042755
img_000259,0.476135,0.008957
img_000260,0.291794,0.025269
img_000261,0.419464,0.024857
img_000262,0.276093,0.111374
img_000263,0.426758,0.041733
img_000264,0.401993,0.086563
img_000265,0.469009,0.06929
img_000266,0.389328,0.10881
img_000267,0.478928,0.020432
img_000268,0.475876,0.004272
img_000269,0.445587,0.031143
img_000270,0.241241,0.083084
img_000271,0.228134,0.100266
img_000272,0.23967,0.044678
img_000273,0.38002,0.056473
img_000274,0.46228,0.021271
img_000275,0.216156,0.052658
img_000276,0.465698,0.034729
img_000277,0.428986,0.0
img_000278,0.422485,0.019089
img_000279,0.441635,0.030899
img_000280,0.508972,0.003052
img_000281,0.46434,0.036591
img_000282,0.407394,0.014145
img_000283,0.359863,0.013138
img_000284,0.405426,0.069458
img_000285,0.446579,0.031433
img_000286,0.491455,0.036331
img_000287,0.5298,0.011688
img_000288,0.246857,0.070251
img_000289,0.37822,0.044357
img_000290,0.229584,0.013794
img_000291,0.258835,0.031509
img_000292,0.436111,0.022186
img_000293,0.389435,0.01207
img_000294,0.345749,0.087982
img_000295,0.340546,0.039078
img_000296,0.268066,0.0
img_000297,0.352676,0.020233
img_000298,0.373367,0.0
img_000299,0.507126,0.0
img_000300,0.456726,0.029633
img_000301,0.223709,0.087738
img_000302,0.419968,0.0327
img_000303,0.495529,0.039185
img_000304,0.37912,0.037308
img_000305,0.258133,0.099487
img_000306,0.366943,0.006409
img_000307,0.31282,0.034302
img_000308,0.4534,0.032867
img_000309,0.367981,0.0448
img_000310,0.423706,0.066422
img_000311,0.291138,0.0
img_000312,0.292953,0.030411
img_000313,0.408722,0.037811
img_000314,0.344604,0.038651
img_000315,0.324249,0.014832
img_000316,0.461304,0.066956
img_000317,0.308533,0.072525
img_000318,0.378876,0.047165
img_000319,0.406433,0.058304
img_000320,0.437256,0.080612
img_000321,0.274689,0.019791
img_000322,0.306442,0.035049
img_000323,0.41748,0.0
img_000324,0.219299,0.074234
img_000325,0.464706,0.011642
img_000326,0.454742,0.040787
img_000327,0.244339,0.067352
img_000328,0.360626,0.008484
img_000329,0.489914,0.045151
img_000330,0.376526,0.038773
img_000331,0.433655,0.012421
img_000332,0.485168,0.047134
img_000333,0.430084,0.044678
img_000334,0.300995,0.053131
img_000335,0.359375,0.007492
img_000336,0.339203,0.010773
img_000337,0.423355,0.013489
img_000338,0.449448,0.004181
img_000339,0.342804,0.062836
img_000340,0.271179,0.065598
img_000341,0.481766,0.017242
img_000342,0.364182,0.0
img_000343,0.417664,0.045517
img_000344,0.415787,0.028625
img_000345,0.347763,0.023666
img_000346,0.264832,0.036911
img_000347,0.277969,0.059784
img_000348,0.352661,0.043625
img_000349,0.417236,0.077774
img_000350,0.211975,0.05043
img_000351,0.265945,0.087112
img_000352,0.32663,0.028946
img_000353,0.33197,0.061417
img_000354,0.409042,0.015991
img_000355,0.319199,0.041916
img_000356,0.443115,0.004761
img_000357,0.449097,0.045547
img_000358,0.265594,0.033081
img_000359,0.37854,0.021683
img_000360,0.250687,0.051697
img_000361,0.306656,0.031601
img_000362,0.455948,0.017487
img_000363,0.409042,0.027771
img_000364,0.289566,0.069275
img_000365,0.292679,0.037872
img_000366,0.444611,0.016769
img_000367,0.389236,0.039154
img_000368,0.392441,0.028259
img_000369,0.399261,0.028046
img_000370,0.309021,0.0
img_000371,0.216095,0.041443
img_000372,0.245514,0.0
img_000373,0.387146,0.086212
img_000374,0.351654,0.023758
img_000375,0.428894,0.050201
img_000376,0.269089,0.047974
img_000377,0.325714,0.071014
img_000378,0.463562,0.045471
img_000379,0.418335,0.057404
img_000380,0.397263,0.027267
img_000381,0.326218,0.039597
img_000382,0.223404,0.017319
img_000383,0.334488,0.061005
img_000384,0.267853,0.083755
img_000385,0.277298,0.043625
img_000386,0.409607,0.045837
img_000387,0.416,0.075638
img_000388,0.204254,0.0513
img_000389,0.191147,0.036255
img_000390,0.28392,0.053543
img_000391,0.207809,0.0
img_000392,0.528671,0.021744
img_000393,0.281876,0.041626
img_000394,0.28244,0.068741
img_000395,0.42363,0.078705
img_000396,0.334808,0.05777
img_000397,0.254837,0.014771
img_000398,0.460251,0.034439
img_000399,0.421875,0.054016
img_000400,0.394348,0.094055
img_000401,0.509079,0.026047
img_000402,0.330551,0.0336
img_000403,0.488693,0.027527
img_000404,0.343124,0.051895
img_000405,0.36647,0.066376
img_000406,0.22551,0.033981
img_000407,0.3685,0.051376
img_000408,0.506775,0.028214
img_000409,0.348236,0.038071
img_000410,0.37059,0.020111
img_000411,0.231873,0.072891
img_000412,0.279388,0.067581
img_000413,0.491531,0.008286
img_000414,0.366272,0.03215
img_000415,0.45282,0.029602
img_000416,0.426453,0.016434
img_000417,0.304382,0.076187
img_000418,0.492004,0.03392
img_000419,0.237091,0.093063
img_000420,0.341797,0.009232
img_000421,0.455795,0.055908
img_000422,0.265503,0.049759
img_000423,0.353348,0.046722
img_000424,0.422867,0.026764
img_000425,0.400833,0.043869
img_000426,0.313477,0.051132
img_000427,0.338379,0.012085
img_000428,0.295746,0.010971
img_000429,0.400024,0.035568
img_000430,0.438583,0.014709
img_000431,0.319061,0.051804
img_000432,0.254379,0.015182
img_000433,0.459015,0.033264
img_000434,0.224121,0.0
img_000435,0.292038,0.022781
img_000436,0.230927,0.073715
img_000437,0.363022,0.094528
img_000438,0.519623,0.019592
img_000439,0.478043,0.035965
img_000440,0.233841,0.050385
img_000441,0.40097,0.052521
img_000442,0.465454,0.046082
img_000443,0.498459,0.006607
img_000444,0.379181,0.028336
img_000445,0.317078,0.09285
img_000446,0.413834,0.031525
img_000447,0.430557,0.070557
img_000448,0.228607,0.094086
img_000449,0.388916,0.034927
img_000450,0.415268,0.0
img_000451,0.456665,0.002884
img_000452,0.281601,0.0
img_000453,0.454956,0.060318
img_000454,0.311356,0.009613
img_000455,0.453827,0.04126
img_000456,0.304184,0.012604
img_000457,0.246384,0.090744
img_000458,0.418259,0.020935
img_000459,0.412277,0.034988
img_000460,0.307663,0.094009
img_000461,0.4776,0.030914
img_000462,0.271362,0.058472
img_000463,0.486786,0.035431
img_000464,0.248718,0.073822
img_000465,0.354416,0.002853
img_000466,0.270432,0.032501
img_000467,0.413666,0.0
img_000468,0.495544,0.017654
img_000469,0.360245,0.025833
img_000470,0.319214,0.017105
img_000471,0.206024,0.059494
img_000472,0.420349,0.0
img_000473,0.517334,0.00882
img_000474,0.458847,0.038208
img_000475,0.372162,0.020752
img_000476,0.344986,0.09642
img_000477,0.371475,0.090759
img_000478,0.422165,0.034485
img_000479,0.464951,0.013046
img_000480,0.381943,0.011063
img_000481,0.446045,0.064743
img_000482,0.406494,0.044952
img_000483,0.269379,0.063675
img_000484,0.428894,0.081512
img_000485,0.239136,0.0
img_000486,0.508347,0.011536
img_000487,0.288528,0.031555
img_000488,0.272537,0.062805
img_000489,0.382401,0.0
img_000490,0.367264,0.050766
img_000491,0.417221,0.0
img_000492,0.363373,0.015839
img_000493,0.392975,0.036011
img_000494,0.479797,0.046051
img_000495,0.362823,0.016495
img_000496,0.351227,0.109818
img_000497,0.394867,0.0
img_000498,0.199524,0.1008
img_000499,0.40509,0.051239
img_000500,0.320068,0.015305
img_000501,0.436157,0.040375
img_000502,0.317444,0.045456
img_000503,0.486435,0.030518
img_000504,0.293335,0.062042
img_000505,0.455917,0.010437
img_000506,0.256378,0.049179
img_000507,0.251968,0.03273
img_000508,0.417267,0.031021
img_000509,0.530304,0.03894
img_000510,0.337921,0.057098
img_000511,0.317276,0.042282
img_000512,0.371368,0.013504
img_000513,0.360794,0.067566
img_000514,0.491837,0.0
img_000515,0.306747,0.085922
img_000516,0.425125,0.023315
img_000517,0.278152,0.083939
img_000518,0.382248,0.02066
img_000519,0.46788,0.009323
img_000520,0.422363,0.076614
img_000521,0.40004,0.052078
img_000522,0.399948,0.045914
img_000523,0.313507,0.008606
img_000524,0.459396,0.006424
img_000525,0.380066,0.082489
img_000526,0.418228,0.073318
img_000527,0.241257,0.060867
img_000528,0.394104,0.055237
img_000529,0.372742,0.115723
img_000530,0.206833,0.033264
img_000531,0.481964,0.032608
img_000532,0.284195,0.043808
img_000533,0.488831,0.043243
img_000534,0.497528,0.048874
img_000535,0.309967,0.0
img_000536,0.188873,0.033691
img_000537,0.326157,0.0
img_000538,0.409088,0.038467
img_000539,0.238419,0.096909
img_000540,0.416779,0.043289
img_000541,0.356369,0.033112
img_000542,0.479034,0.017441
img_000543,0.377975,0.007614
img_000544,0.317093,0.093338
img_000545,0.433792,0.073914
img_000546,0.3311,0.05983
img_000547,0.427658,0.060883
img_000548,0.456741,0.00824
img_000549,0.205444,0.030441
img_000550,0.529388,0.052032
img_000551,0.462448,0.017883
img_000552,0.248047,0.028198
img_000553,0.333466,0.0
img_000554,0.489532,0.081787
img_000555,0.381775,0.065262
img_000556,0.313202,0.036743
img_000557,0.476151,0.036789
img_000558,0.423447,0.008194
img_000559,0.290466,0.056885
img_000560,0.398972,0.040298
img_000561,0.398834,0.031296
img_000562,0.280273,0.044357
img_000563,0.475708,0.049255
img_000564,0.395859,0.0289
img_000565,0.471283,0.042725
img_000566,0.417206,0.056381
img_000567,0.482101,0.041489
img_000568,0.515167,0.021927
img_000569,0.403046,0.069489
img_000570,0.455292,0.024094
img_000571,0.414322,0.047821
img_000572,0.470444,0.039673
img_000573,0.380981,0.015259
img_000574,0.357635,0.022034
img_000575,0.365189,0.070862
img_000576,0.486542,0.032593
img_000577,0.385269,0.016174
img_000578,0.418518,0.0
img_000579,0.327911,0.025269
img_000580,0.402817,0.057419
img_000581,0.44043,0.004532
img_000582,0.27446,0.031281
img_000583,0.261948,0.10759
img_000584,0.326706,0.023483
img_000585,0.468094,0.0
img_000586,0.308212,0.083664
img_000587,0.301361,0.026642
img_000588,0.326492,0.03862
img_000589,0.189484,0.176804
img_000590,0.509293,0.010529
img_000591,0.256729,0.011581
img_000592,0.448151,0.048782
img_000593,0.33992,0.073105
img_000594,0.413391,0.035965
img_000595,0.453629,0.02179
img_000596,0.451859,0.021805
img_000597,0.26593,0.066422
img_000598,0.461502,0.012222
img_000599,0.452423,0.0
img_000600,0.442108,0.006104
img_000601,0.268707,0.0
img_000602,0.503693,0.037155
img_000603,0.209,0.041519
img_000604,0.404266,0.038559
img_000605,0.318649,0.023209
img_000606,0.502167,0.039841
img_000607,0.468414,0.001709
img_000608,0.224045,0.03302
img_000609,0.271957,0.020996
img_000610,0.496948,0.073349
img_000611,0.480255,0.01886
img_000612,0.310699,0.018219
img_000613,0.327347,0.030533
img_000614,0.429825,0.00853
img_000615,0.39949,0.03685
img_000616,0.459885,0.057785
img_000617,0.448929,0.050827
img_000618,0.456207,0.0
img_000619,0.294952,0.07048
img_000620,0.346466,0.025162
img_000621,0.463943,0.009415
img_000622,0.264786,0.090561
img_000623,0.482864,0.000488
img_000624,0.415131,0.038925
img_000625,0.468292,0.028854
img_000626,0.367783,0.0
img_000627,0.511185,0.0
img_000628,0.206696,0.035126
img_000629,0.385147,0.015427
img_000630,0.2966,0.023849
img_000631,0.417542,0.041931
img_000632,0.506058,0.038208
img_000633,0.330017,0.042313
img_000634,0.435562,0.026886
img_000635,0.454376,0.024063
img_000636,0.403229,0.013229
img_000637,0.396225,0.009979
img_000638,0.37265,0.018875
img_000639,0.429733,0.004822
img_000640,0.427139,0.031998
img_000641,0.296432,0.0
img_000642,0.378113,0.01149
img_000643,0.434937,0.021591
img_000644,0.443817,0.008286
img_000645,0.419098,0.041016
img_000646,0.458923,0.054153
img_000647,0.263397,0.03418
img_000648,0.248077,0.018524
img_000649,0.483887,0.027008
img_000650,0.386627,0.036407
img_000651,0.236115,0.064377
img_000652,0.310837,0.114685
img_000653,0.505936,0.0
img_000654,0.471603,0.056046
img_000655,0.350418,0.0
img_000656,0.437775,0.040115
img_000657,0.410065,0.081284
img_000658,0.452438,0.049667
img_000659,0.358963,0.044495
img_000660,0.436188,0.059723
img_000661,0.459259,0.038376
img_000662,0.293991,0.025375
img_000663,0.398193,0.040192
img_000664,0.356018,0.087219
img_000665,0.292969,0.107666
img_000666,0.468231,0.0
img_000667,0.448944,0.031708
img_000668,0.341904,0.049316
img_000669,0.392609,0.125381
img_000670,0.501083,0.058487
img_000671,0.468933,0.007416
img_000672,0.310333,0.0
img_000673,0.421982,0.062744
img_000674,0.453064,0.022156
img_000675,0.430206,0.021667
img_000676,0.37735,0.025085
img_000677,0.497818,0.011871
img_000678,0.429123,0.011688
img_000679,0.392792,0.020782
img_000680,0.501266,0.017273
img_000681,0.230194,0.069809
img_000682,0.455841,0.0
img_000683,0.404236,0.074753
img_000684,0.228638,0.073288
img_000685,0.239197,0.104218
img_000686,0.231186,0.059845
img_000687,0.401276,0.019989
img_000688,0.315353,0.038467
img_000689,0.243225,0.0
img_000690,0.444504,0.015823
img_000691,0.261688,0.003281
img_000692,0.347412,0.01799
img_000693,0.363174,0.0
img_000694,0.244827,0.0
img_000695,0.334335,0.015732
img_000696,0.429138,0.016617
img_000697,0.291306,0.0
img_000698,0.406281,0.0
img_000699,0.42009,0.0
img_000700,0.424774,0.069672
img_000701,0.504257,0.034103
img_000702,0.231415,0.033569
img_000703,0.352631,0.0
img_000704,0.311264,0.043915
img_000705,0.447678,0.003479
img_000706,0.335449,0.0
img_000707,0.218094,0.030624
img_000708,0.383408,0.02121
img_000709,0.446274,0.033966
img_000710,0.475372,0.043747
img_000711,0.36232,0.071442
img_000712,0.467468,0.046997
img_000713,0.306458,0.024643
img_000714,0.385498,0.044601
img_000715,0.28656,0.041428
img_000716,0.505173,0.015793
img_000717,0.340073,0.027161
img_000718,0.323975,0.044113
img_000719,0.451523,0.026169
img_000720,0.434891,0.03653
img_000721,0.391846,0.034103
img_000722,0.436966,0.010315
img_000723,0.201767,0.0
img_000724,0.39679,0.006332
img_000725,0.341888,0.040237
img_000726,0.430893,0.027802
img_000727,0.477524,0.04303
img_000728,0.331223,0.006424
img_000729,0.38446,0.027283
img_000730,0.299026,0.03923
img_000731,0.425079,0.02388
img_000732,0.357071,0.088135
img_000733,0.28801,0.046906
img_000734,0.376755,0.004074
img_000735,0.496857,0.043091
img_000736,0.300369,0.018066
img_000737,0.208527,0.0
img_000738,0.271896,0.129318
img_000739,0.310211,0.079407
img_000740,0.356155,0.012146
img_000741,0.358597,0.0
img_000742,0.443237,0.009247
img_000743,0.317856,0.040466
img_000744,0.236832,0.027863
img_000745,0.461853,0.003769
img_000746,0.258621,0.050461
img_000747,0.534683,0.068542
img_000748,0.396683,0.050919
img_000749,0.423599,0.047943
img_000750,0.461563,0.045105
img_000751,0.43602,0.070206
img_000752,0.508316,0.009155
img_000753,0.246948,0.028625
img_000754,0.448074,0.043243
img_000755,0.395126,0.034653
img_000756,0.510803,0.037216
img_000757,0.460022,0.037369
img_000758,0.443573,0.028183
img_000759,0.314896,0.007507
img_000760,0.264481,0.042053
img_000761,0.319305,0.029572
img_000762,0.436447,0.008514
img_000763,0.304993,0.019623
img_000764,0.367096,0.047943
img_000765,0.472916,0.045746
img_000766,0.499283,0.020554
img_000767,0.449829,0.026901
img_000768,0.206345,0.035278
img_000769,0.275024,0.093369
img_000770,0.269226,0.023911
img_000771,0.471313,0.016373
img_000772,0.369797,0.072479
img_000773,0.390244,0.025635
img_000774,0.273071,0.036545
img_000775,0.251724,0.070694
img_000776,0.26535,0.062454
img_000777,0.262619,0.029633
img_000778,0.477631,0.005203
img_000779,0.392654,0.05986
img_000780,0.444748,0.0
img_000781,0.420731,0.046738
img_000782,0.440262,0.009323
img_000783,0.437927,0.087433
img_000784,0.453156,0.056488
img_000785,0.297729,0.0
img_000786,0.252426,0.043182
img_000787,0.459351,0.037949
img_000788,0.505219,0.066101
img_000789,0.226059,0.033539
img_000790,0.369904,0.0
img_000791,0.364319,0.058151
img_000792,0.49054,0.07663
img_000793,0.417084,0.016815
img_000794,0.459274,0.010666
img_000795,0.340469,0.031052
img_000796,0.492386,0.0
img_000797,0.486069,0.104462
img_000798,0.382004,0.01059
img_000799,0.39975,0.065216
img_000800,0.400818,0.024399
img_000801,0.363892,0.006363
img_000802,0.326294,0.019913
img_000803,0.458572,0.015274
img_000804,0.43483,0.025391
img_000805,0.370514,0.02475
img_000806,0.197891,0.029648
img_000807,0.350311,0.06424
img_000808,0.31665,0.029099
img_000809,0.267548,0.067947
img_000810,0.489151,0.035721
img_000811,0.230759,0.051483
img_000812,0.352371,0.0
img_000813,0.412476,0.067764
img_000814,0.487656,0.059052
img_000815,0.490829,0.030746
img_000816,0.333328,0.0
img_000817,0.209549,0.03093
img_000818,0.366913,0.0
img_000819,0.428925,0.080139
img_000820,0.450089,0.089203
img_000821,0.422287,0.058609
img_000822,0.451416,0.036575
img_000823,0.431747,0.030624
img_000824,0.419586,0.009399
img_000825,0.480042,0.052322
img_000826,0.426117,0.026367
img_000827,0.464951,0.017639
img_000828,0.284149,0.049698
img_000829,0.229507,0.072784
img_000830,0.396317,0.040054
img_000831,0.341309,0.012817
img_000832,0.434341,0.0
img_000833,0.449387,0.033524
img_000834,0.463455,0.0
img_000835,0.34343,0.047714
img_000836,0.317612,0.0
img_000837,0.397644,0.010437
img_000838,0.436783,0.072571
img_000839,0.452148,0.048996
img_000840,0.294434,0.011307
img_000841,0.443069,0.021469
img_000842,0.434357,0.051071
img_000843,0.265472,0.057648
img_000844,0.334641,0.074844
img_000845,0.449951,0.001495
img_000846,0.340561,0.088333
img_000847,0.472519,0.0
img_000848,0.303177,0.103149
img_000849,0.20314,0.101471
img_000850,0.244766,0.08139
img_000851,0.359497,0.056335
img_000852,0.220139,0.0
img_000853,0.35144,0.071884
img_000854,0.41127,0.034058
img_000855,0.417755,0.060181
img_000856,0.299042,0.082489
img_000857,0.424606,0.012268
img_000858,0.475876,0.023758
img_000859,0.386658,0.081894
img_000860,0.47728,0.05542
img_000861,0.313766,0.021439
img_000862,0.331589,0.024414
img_000863,0.202057,0.113205
img_000864,0.373566,0.03418
img_000865,0.451981,0.023438
img_000866,0.478912,0.055786
img_000867,0.315201,0.0
img_000868,0.493011,0.02124
img_000869,0.375061,0.0
img_000870,0.24324,0.032745
img_000871,0.215561,0.023331
img_000872,0.258698,0.028458
img_000873,0.215927,0.128433
img_000874,0.494919,0.029526
img_000875,0.380356,0.024658
img_000876,0.41217,0.020416
img_000877,0.291519,0.054855
img_000878,0.428528,0.041931
img_000879,0.468582,0.057617
img_000880,0.470947,0.096222
img_000881,0.453781,0.012283
img_000882,0.428665,0.028473
img_000883,0.416733,0.028961
img_000884,0.446899,0.094223
img_000885,0.314194,0.012878
img_000886,0.470566,0.014313
img_000887,0.480743,0.079193
img_000888,0.295135,0.04332
img_000889,0.301025,0.028885
img_000890,0.424133,0.019501
img_000891,0.453995,0.003052
img_000892,0.438171,0.078079
img_000893,0.463181,0.010788
img_000894,0.454575,0.049942
img_000895,0.453461,0.004654
img_000896,0.319809,0.044815
img_000897,0.377243,0.026321
img_000898,0.226746,0.032166
img_000899,0.258194,0.0
img_000900,0.46286,0.038269
img_000901,0.313782,0.027115
img_000902,0.452133,0.047791
img_000903,0.39566,0.016647
img_000904,0.422775,0.072037
img_000905,0.460739,0.029236
img_000906,0.355133,0.038544
img_000907,0.439117,0.026627
img_000908,0.466919,0.02742
img_000909,0.423676,0.063721
img_000910,0.459717,0.036499
img_000911,0.373428,0.006058
img_000912,0.275772,0.0
img_000913,0.474731,0.041626
img_000914,0.454895,0.061142
img_000915,0.278473,0.012619
img_000916,0.509689,0.044739
img_000917,0.473495,0.0
img_000918,0.440689,0.050903
img_000919,0.265411,0.037933
img_000920,0.205292,0.01442
img_000921,0.320709,0.076706
img_000922,0.300339,0.02475
img_000923,0.334015,0.089844
img_000924,0.378693,0.015747
img_000925,0.201172,0.024811
img_000926,0.442413,0.016647
img_000927,0.418045,0.041245
img_000928,0.406708,0.02623
img_000929,0.252869,0.111572
img_000930,0.476013,0.0
img_000931,0.370773,0.0
img_000932,0.276016,0.09996
img_000933,0.434128,0.06813
img_000934,0.373505,0.035919
img_000935,0.362305,0.0
img_000936,0.46138,0.003525
img_000937,0.410553,0.0
img_000938,0.397614,0.026993
